2017-11-13 05:18:49 | -=< Temperature Logger Restart >=-
2017-11-13 18:45:44 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 18:46:45 | TEMPLOG : To   GeoLoop | 057.200
2017-11-13 18:47:46 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 18:47:46 | TEMPLOG : To   GeoLoop | 058.100
2017-11-13 18:48:47 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 18:49:47 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 19:00:57 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 19:00:57 | TEMPLOG : To   GeoLoop | 058.100
2017-11-13 19:00:57 | TEMPLOG : Table    One | 051.800
2017-11-13 19:06:01 | TEMPLOG : To   GeoLoop | 057.200
2017-11-13 19:09:04 | TEMPLOG : To   GeoLoop | 058.100
2017-11-13 19:10:04 | TEMPLOG : To   GeoLoop | 057.200
2017-11-13 19:24:17 | TEMPLOG : Table    One | 050.900
2017-11-13 19:25:18 | TEMPLOG : Table    One | 051.800
2017-11-13 19:26:19 | TEMPLOG : Table    One | 050.900
2017-11-13 19:27:20 | TEMPLOG : Table    One | 051.800
2017-11-13 19:28:20 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 19:29:22 | TEMPLOG : Table    One | 050.900
2017-11-13 19:31:23 | TEMPLOG : Table    One | 051.800
2017-11-13 19:32:24 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 19:32:24 | TEMPLOG : Table    One | 050.900
2017-11-13 19:33:24 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 19:34:26 | TEMPLOG : Table    One | 051.800
2017-11-13 19:36:27 | TEMPLOG : Table    One | 050.900
2017-11-13 19:40:32 | TEMPLOG : Table    One | 051.800
2017-11-13 19:41:33 | TEMPLOG : Table    One | 050.900
2017-11-13 19:43:35 | TEMPLOG : Table    One | 051.800
2017-11-13 19:44:36 | TEMPLOG : Table    One | 050.900
2017-11-13 19:47:38 | TEMPLOG : To   GeoLoop | 056.300
2017-11-13 19:48:39 | TEMPLOG : To   GeoLoop | 057.200
2017-11-13 19:50:41 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 19:51:42 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 19:55:45 | TEMPLOG : To   GeoLoop | 056.300
2017-11-13 19:56:47 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 19:56:48 | TEMPLOG : To   GeoLoop | 057.200
2017-11-13 19:57:48 | TEMPLOG : WellhouseOne | 048.200
